Product_ID,Product_Name,Category,Price,Stock,Brand,Discount_Percentage,Supplier_ID
1,Product 1,Household,4,385,Diaz-Leblanc,38.63,1
2,Product 2,Household,12,383,"Hayes, Bowers and Ho",30.74,207
3,Product 3,Toys,23,200,"Holt, Shepard and Bailey",9.38,461
4,Product 4,Household,43,415,Duffy-Roberts,29.57,310
5,Product 5,Clothing,62,230,"Holden, Miller and Thompson",15.26,357
6,Product 6,Toys,42,255,"Avila, Nelson and Murphy",24.92,494
7,Product 7,Toys,26,177,Lucas Group,20.38,86
8,Product 8,Clothing,71,193,Brooks-Mullins,12.91,96
9,Product 9,Food,36,79,Olsen-Larsen,12.26,401
10,Product 10,Clothing,98,418,"Simmons, Rodriguez and Newman",40.29,282
11,Product 11,Household,3,311,Fitzgerald-Miller,1.98,399
12,Product 12,Toys,10,446,Blevins Ltd,10.74,354
13,Product 13,Food,16,451,Carr Inc,4.64,340
14,Product 14,Clothing,4,375,Brown-Decker,1.1,105
15,Product 15,Toys,21,216,Ramirez-Collier,30.37,177
16,Product 16,Household,73,495,"Levy, Smith and Kidd",30.31,211
17,Product 17,Clothing,1,108,Wright LLC,48.39,96
18,Product 18,Toys,6,288,Cline-Gonzalez,16.82,103
19,Product 19,Toys,94,369,Hood Inc,11.18,181
20,Product 20,Electronics,30,492,Martinez-Cook,28.37,357
21,Product 21,Clothing,88,486,"Clark, Avery and Davis",29.65,427
22,Product 22,Food,5,429,Gonzalez-Brown,26.45,6
23,Product 23,Food,70,173,"Norton, Peters and Lloyd",8.41,464
24,Product 24,Toys,31,17,"Gregory, Johnson and Rice",33.21,231
25,Product 25,Toys,14,224,Hernandez PLC,0.26,449
26,Product 26,Food,0,24,"Sawyer, Hogan and Diaz",30.87,24
27,Product 27,Toys,6,165,"Erickson, Harris and Walter",18.15,471
28,Product 28,Toys,9,57,Shea Inc,22.87,299
29,Product 29,Toys,94,32,Sweeney Ltd,8.08,351
30,Product 30,Toys,0,168,Willis-Sparks,22.78,292
31,Product 31,Household,42,482,Cantu Inc,49.65,414
32,Product 32,Household,1,404,Brennan Group,33.01,175
33,Product 33,Food,71,364,"Maxwell, Wilson and Edwards",11.71,118
34,Product 34,Household,20,354,Fry-Parsons,0.57,89
35,Product 35,Electronics,96,326,Hopkins Inc,16.31,190
36,Product 36,Household,67,30,Gonzalez-Palmer,39.92,189
37,Product 37,Food,71,443,Murillo Ltd,3.53,191
38,Product 38,Household,83,220,"Howard, Moreno and Page",27.28,304
39,Product 39,Electronics,43,300,"Campos, Torres and Ruiz",30.54,467
40,Product 40,Toys,5,340,"Petty, Edwards and Mitchell",37.17,212
41,Product 41,Toys,35,304,"Hernandez, Reilly and Doyle",47.2,287
42,Product 42,Food,87,269,Santos-Lutz,37.91,440
43,Product 43,Food,3,77,"Boyd, Haynes and Mcintosh",25.05,120
44,Product 44,Household,84,205,Wiggins-Hartman,15.48,194
45,Product 45,Food,36,90,Burnett LLC,15.61,227
46,Product 46,Toys,10,160,"Kramer, Allen and Orozco",26.04,415
47,Product 47,Electronics,97,338,"Pittman, Russell and Rice",48.79,451
48,Product 48,Food,53,406,Powell PLC,33.95,128
49,Product 49,Clothing,62,22,Howard PLC,14.42,399
50,Product 50,Electronics,93,405,Larson-Chen,4.26,95
51,Product 51,Food,61,323,Petty-Anderson,21.77,286
52,Product 52,Household,51,302,"Davis, Coleman and Rodriguez",34.67,50
53,Product 53,Household,55,384,"Middleton, Mcknight and Foster",34.51,27
54,Product 54,Toys,15,335,Wall Inc,9.91,86
55,Product 55,Food,59,387,Coleman-Kennedy,46.55,20
56,Product 56,Clothing,74,434,Nguyen and Sons,21.93,16
57,Product 57,Food,77,52,"Miller, Martin and Mendoza",21.63,83
58,Product 58,Clothing,92,468,"Flynn, Anderson and Nelson",21.42,124
59,Product 59,Electronics,85,60,Hopkins-Juarez,47.63,364
60,Product 60,Toys,37,476,Zimmerman-Garcia,5.04,29
61,Product 61,Clothing,62,364,Huang LLC,47.3,283
62,Product 62,Food,67,134,Simpson-Gordon,38.34,19
63,Product 63,Household,92,468,"Cruz, Shelton and Hill",36.19,373
64,Product 64,Electronics,37,172,Smith Group,41.12,247
65,Product 65,Toys,47,146,Singh Inc,26.3,414
66,Product 66,Toys,91,207,Haynes LLC,16.47,459
67,Product 67,Electronics,49,439,Villa-Frazier,10.42,19
68,Product 68,Food,34,490,"Rodriguez, Freeman and Roberts",19.93,386
69,Product 69,Electronics,21,489,"Ingram, Barker and Grant",21.74,140
70,Product 70,Clothing,92,187,Thompson-Reyes,4.88,152
71,Product 71,Household,46,214,Nichols and Sons,30.41,239
72,Product 72,Household,63,109,"Ellison, Kelley and Wilson",44.33,73
73,Product 73,Electronics,22,252,"Singh, Mathews and Schmitt",13.9,473
74,Product 74,Food,25,31,Jackson Ltd,27.66,463
75,Product 75,Household,73,298,"Green, Davis and Romero",34.27,51
76,Product 76,Food,42,433,Vargas-Collins,19.91,337
77,Product 77,Electronics,73,132,Donovan-Thomas,39.85,218
78,Product 78,Food,10,172,Martinez-Mosley,13.07,446
79,Product 79,Food,80,77,Rodriguez PLC,47.86,253
80,Product 80,Toys,66,364,Moses and Sons,47.22,80
81,Product 81,Toys,90,156,Ortega LLC,28.06,235
82,Product 82,Household,73,349,Galvan Inc,47.3,240
83,Product 83,Toys,71,106,Hill-Jackson,1.58,215
84,Product 84,Toys,65,221,"Anderson, Harris and Humphrey",26.62,333
85,Product 85,Electronics,45,194,Johnson-Woods,25.71,219
86,Product 86,Electronics,40,351,"Contreras, Joseph and Dennis",39.05,37
87,Product 87,Food,31,105,"Trevino, Williams and Phillips",30.46,102
88,Product 88,Clothing,95,470,Bryant-Flynn,14.8,366
89,Product 89,Toys,49,327,"Roy, Andersen and Case",10.67,404
90,Product 90,Food,14,471,Hogan and Sons,6.97,288
91,Product 91,Electronics,60,60,Powell Group,5.73,18
92,Product 92,Food,16,136,"Reyes, Young and Gray",32.49,370
93,Product 93,Electronics,20,83,"Avila, Rodriguez and Duncan",39.86,170
94,Product 94,Food,92,113,Mitchell Inc,22.39,322
95,Product 95,Household,37,463,"Blake, Ortiz and Miller",16.09,195
96,Product 96,Household,56,235,Rangel-Short,46.84,479
97,Product 97,Food,58,138,"Moore, Smith and Clark",1.45,355
98,Product 98,Clothing,95,381,"Park, Salazar and Beasley",48.94,170
99,Product 99,Electronics,93,386,Macdonald-Villegas,14.38,421
100,Product 100,Electronics,31,103,Cordova LLC,31.47,129
101,Product 101,Electronics,52,252,Snow Ltd,7.4,279
102,Product 102,Toys,95,431,Moore-Martinez,13.92,52
103,Product 103,Household,15,209,"Foster, Crawford and Harris",6.52,493
104,Product 104,Food,91,206,Whitehead Ltd,42.98,209
105,Product 105,Clothing,26,404,Graham Inc,40.93,181
106,Product 106,Toys,54,414,Burke and Sons,5.03,62
107,Product 107,Electronics,62,417,Hill-Garcia,25.21,202
108,Product 108,Electronics,14,270,Valencia-Li,35.44,298
109,Product 109,Electronics,27,166,Wright and Sons,30.03,180
110,Product 110,Clothing,71,62,Becker-Reyes,10.73,396
111,Product 111,Household,77,132,Kaufman-Bates,23.08,82
112,Product 112,Electronics,29,110,Jones-Moore,28.95,318
113,Product 113,Clothing,1,84,"Erickson, Collins and Bright",46.85,342
114,Product 114,Household,61,315,"Franklin, Small and Ruiz",4.35,289
115,Product 115,Household,44,249,Matthews Ltd,18.71,20
116,Product 116,Electronics,12,131,"Clayton, Forbes and Cantrell",45.49,87
117,Product 117,Electronics,40,269,Freeman and Sons,12.5,157
118,Product 118,Electronics,80,442,"Garcia, Hodges and Hood",22.19,350
119,Product 119,Electronics,32,306,"Anderson, Fernandez and Miller",39.6,125
120,Product 120,Toys,94,345,Watson-Li,18.76,483
121,Product 121,Clothing,51,404,Payne-Bowen,0.86,232
122,Product 122,Electronics,18,22,"Hampton, Baldwin and Keith",20.31,160
123,Product 123,Electronics,94,156,"Bell, Khan and Myers",14.95,279
124,Product 124,Food,24,280,"Johnson, Hopkins and Martin",15.64,33
125,Product 125,Clothing,69,384,Hart LLC,29.76,240
126,Product 126,Household,63,423,Bridges-Barrett,2.88,69
127,Product 127,Toys,57,379,"Holmes, Woods and Howell",36.13,337
128,Product 128,Clothing,80,454,"Burnett, Ramsey and Thomas",5.0,380
129,Product 129,Household,89,137,Stewart-Lane,28.35,499
130,Product 130,Toys,21,226,"Landry, Cox and Stevens",17.64,172
131,Product 131,Household,87,104,Reyes LLC,22.43,39
132,Product 132,Household,53,100,Warren LLC,36.66,237
